stop_id,stop_code,name,name_he,lat,lng,n_lines,n_allday_lines
15859,31683,Moshe Levi/Naftali Faltin,משה לוי/נפתלי פלטין,31.987503,34.773181,14,6
7371,60079,Nadvorna/Baba Sali,נדבורנא / בבא סאלי,31.692877,35.111290,14,6
10845,5199,Nahal Luz/Nahal Gilo,נחל לוז/נחל גילה,31.709542,34.994111,14,6
10777,4229,Nahal Luz/Nahal Refa'im,נחל לוז/נחל רפאים,31.711116,34.996249,14,6
9003,585,Nahal Sorek/Lakhish,נחל שורק/לכיש,31.713796,34.996277,14,6
9001,583,Nahal Sorek/Mishmar Creek,נחל שורק/נחל משמר,31.715654,34.992405,14,6
9002,584,Nahal Sorek/Nachshon Creek,נחל שורק/נחל נחשון,31.714846,34.994199,14,6
9000,582,Nahal Sorek/Nahal Hakishon,נחל שורק/נחל הקישון,31.714619,34.990192,14,6
8695,164,Rabbi Shlomo Zalman Druk/HaRav Bezalel Zolti,רבי שלמה זלמן דרוק/הרב בצלאל זולטי,31.813784,35.215335,14,6
4915,55557,Universe/Rabin,יוניברס/רבין,32.622847,35.316596,14,6
7535,60258,כיכר נאות הפסגה/רש''י,כיכר נאות הפסגה/רש''י,31.928996,35.046171,14,6
13919,26255,Abba Hillel Road/Bialik,דרך אבא הלל/ביאליק,32.086969,34.805391,14,5
43393,1289,Abba Hillel Silver/Harry Truman,אבא הלל סילבר/הארי טרומן,31.815707,35.207307,14,5
18814,51557,Alquds/Bank Hapoalim,אל קודס/בנק הפועלים,32.856303,35.180637,14,5
12983,21285,Aluf Sade/Oded,אלוף שדה/עודד,32.058390,34.812677,14,5
10455,3299,Bar'am/Ha'Oman,ברעם/האומן,31.745527,35.214098,14,5
25810,11274,Eliyahu Nawi/David Ben Gurion BLVD,דרך אליהו נאוי/שדרות דוד בן גוריון,31.249569,34.818188,14,5
8815,312,Ha'Admor MiLubavitch/Druck,האדמור מלובאויטש/דרוק,31.810543,35.213754,14,5
8702,171,Ha'Admor MiLubavitch/Lapian,האדמור מלובאויטש/לפיאן,31.808708,35.216611,14,5
8701,170,HaAdmor MiLubawitch/Hazon Ish,האדמור מלובאויטש/חזון איש,31.807813,35.220173,14,5
10953,5308,HaDekel/Rashi,הדקל / רשי,31.741733,34.980752,14,5
23380,35483,HaRav Herzog/Shmuel Haim Landoi,הרב הרצוג/שמואל חיים לנדוי,32.096984,34.897209,14,5
16363,32437,HaRav Ovadia Yosef/Menahem Begin Rd,הרב עובדיה יוסף/דרך מנחם בגין,32.080717,34.908000,14,5
12862,21104,HaYarkon/Arlozorov,הירקון/ארלוזורוב,32.087939,34.771282,14,5
23885,36063,Hekhal HaTarbut/Jabotinsky,היכל התרבות/זבוטינסקי,31.962669,34.800055,14,5
38955,20000,Hertsliya Railway Station,ת. רכבת הרצליה,32.164239,34.818785,14,5
50497,20843,Herzl/Yehuda Halevi,הרצל/יהודה הלוי,32.061828,34.770272,14,5
7581,60313,Kollel Ponevezh/HaRav MiPonevezh Boulevard,כולל פוניבז'/שדרות הרב מפוניבז',31.924543,35.046546,14,5
9623,1731,Levi Eshkol Boulevard/Carl Netter,שדרות לוי אשכול/קרל נטר,31.799515,35.225737,14,5
15406,31066,Levy Eshkoln Road/HaTamar,דרך לוי אשכול/התמר,32.052670,34.864241,14,5
10151,2855,Moshe Dayan A,משה דיין א,31.830338,35.236710,14,5
10152,2856,Moshe Dayan Boulevard/Mazal Shor,שדרות משה דיין/מזל שור,31.833259,35.234819,14,5
36798,6214,Moshe Dayan Boulevard/Mazal Taleh,שדרות משה דיין/מזל טלה,31.835831,35.234010,14,5
10843,5196,Nahal Tse'elim Blvd/Nahal HaKishon Blvd,שד.נחל צאלים/שד.נחל הקישון,31.712691,34.987549,14,5
8905,480,Nehar HaYarkon Blvd/Eliyahu HaNavi,שדרות נהר הירקון/אליהו הנביא,31.706622,35.001382,14,5
10689,3826,Police/Shmuel Meir,משטרה/שמואל מאיר,31.730516,35.219718,14,5
8827,332,Shivat Zion/Tlalim,שיבת ציון/טללים,31.815446,35.199314,14,5
11035,5396,Yigal Allon/Ha'Aliya,יגאל אלון/העלייה,31.755910,34.989729,14,5
10654,3655,Zevin/Neuman A,זווין/ניימן א',31.840792,35.247988,14,5
25086,38123,דרך לוי אשכול/צה''ל,דרך לוי אשכול/צה''ל,32.050138,34.864103,14,5
16237,32303,מד''א/המכבים,מד''א/המכבים,32.096558,34.887575,14,5
10241,3012,תחנת רקל''ה חיל האוויר/משה דיין,תחנת רקל''ה חיל האוויר/משה דיין,31.828827,35.238195,14,5
37203,55773,Alquds/Clock Square,אלקודס/כיכר השעון,32.855448,35.186428,14,4
41801,61290,Ariel Mall,קניון אריאל,32.100429,35.169786,14,4
24207,36518,Ben Gurion Boulevard/HaNassi,שדרות בן גוריון/הנשיא,32.059195,34.849046,14,4
